section,area,network,provider,company
1621000,未知 未知,电信网络,,
1621001,未知 未知,电信网络,,
1621002,北京 北京,电信网络,天音移动,天音通信
1621003,北京 北京,电信网络,分享通信,分享通信
1621004,北京 北京,电信网络,天音移动,天音通信
1621005,北京 北京,电信网络,天音移动,天音通信
1621006,北京 北京,电信网络,天音移动,天音通信
1621007,北京 北京,电信网络,天音移动,天音通信
1621008,北京 北京,电信网络,U友,爱施德
1621009,北京 北京,电信网络,海航通信,海航集团
1621011,北京 北京,电信网络,苏宁互联,苏宁电器
1621012,北京 北京,电信网络,极信通信,国美电器|国美极信
1621013,北京 北京,电信网络,丰信移动,丰信通信
1621014,北京 北京,电信网络,朗玛移动,朗玛信息
1621015,北京 北京,电信网络,U友,爱施德
1621016,北京 北京,电信网络,苏宁互联,苏宁电器
1621017,北京 北京,电信网络,小米移动,小米科技
1621018,北京 北京,电信网络,星美生活,星美集团
1621020,天津 天津,电信网络,天音移动,天音通信
1621021,天津 天津,电信网络,海航通信,海航集团
1621023,天津 天津,电信网络,,
1621024,天津 天津,电信网络,星美生活,星美集团
1621027,天津 天津,电信网络,,
1621028,天津 天津,电信网络,,
1621030,天津 天津,电信网络,长江移动,长江时代
1621031,天津 天津,电信网络,,
1621032,天津 天津,电信网络,,
1621034,天津 天津,电信网络,迪加通信,迪信通
1621035,天津 天津,电信网络,,
1621036,天津 天津,电信网络,极信通信,国美电器|国美极信
1621037,天津 天津,电信网络,,
1621038,天津 天津,电信网络,星美生活,星美集团
1621040,北京 北京,电信网络,小米移动,小米科技
1621041,北京 北京,电信网络,话机通信,话机世界
1621042,北京 北京,电信网络,分享通信,分享通信
1621043,北京 北京,电信网络,分享通信,分享通信
1621044,北京 北京,电信网络,话机通信,话机世界
1621045,北京 北京,电信网络,话机通信,话机世界
1621046,北京 北京,电信网络,长江移动,长江时代
1621047,北京 北京,电信网络,分享通信,分享通信
1621048,北京 北京,电信网络,星美生活,星美集团
1621049,北京 北京,电信网络,星美生活,星美集团
1621050,北京 北京,电信网络,迪加通信,迪信通
1621051,北京 北京,电信网络,星美生活,星美集团
1621053,北京 北京,电信网络,,
1621054,北京 北京,电信网络,蜗牛移动,蜗牛数字
1621055,北京 北京,电信网络,星美生活,星美集团
1621056,北京 北京,电信网络,天音移动,天音通信
1621057,北京 北京,电信网络,,
1621058,北京 北京,电信网络,星美生活,星美集团
1621059,北京 北京,电信网络,天音移动,天音通信
1621060,北京 北京,电信网络,,
1621061,北京 北京,电信网络,无限互联,连连科技
1621062,北京 北京,电信网络,民生通讯,民生电商
1621063,北京 北京,电信网络,民生通讯,民生电商
1621064,北京 北京,电信网络,长江移动,长江时代
1621065,北京 北京,电信网络,天音移动,天音通信
1621067,北京 北京,电信网络,,
1621068,北京 北京,电信网络,,
1621069,北京 北京,电信网络,天音移动,天音通信
1621070,北京 北京,电信网络,蜗牛移动,蜗牛数字
1621071,北京 北京,电信网络,,
1621072,北京 北京,电信网络,,
1621073,北京 北京,电信网络,星美生活,星美集团
1621074,北京 北京,电信网络,星美生活,星美集团
1621075,北京 北京,电信网络,蜗牛移动,蜗牛数字
1621076,北京 北京,电信网络,星美生活,星美集团
1621077,北京 北京,电信网络,苏宁互联,苏宁电器
1621078,北京 北京,电信网络,京东通信,京东商城
1621079,北京 北京,电信网络,星美生活,星美集团
1621080,北京 北京,电信网络,,
1621081,北京 北京,电信网络,极信通信,国美电器|国美极信
1621082,北京 北京,电信网络,天音移动,天音通信
1621083,北京 北京,电信网络,,
1621084,北京 北京,电信网络,长江移动,长江时代
1621085,北京 北京,电信网络,,
1621086,北京 北京,电信网络,蜗牛移动,蜗牛数字
1621087,北京 北京,电信网络,,
